"File","ExitCode","DurationMs","Hit_SingleSlashEq","Hit_DoubleSlashDash","Hit_RuntimeStrMatch","Hit_UntypedCaseStrPat","Hit_UntypedTableStrPat","Hit_TrailingSpaces","ScanLog","CompileOut","CompileErr","ErrorKind","FirstError","ErrorDetail"
"lib\src\albanian\ExtraSqiAbs.gf","0","27","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_ExtraSqiAbs.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_ExtraSqiAbs.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_ExtraSqiAbs.gf.err.txt","OK","",""
"lib\src\albanian\GrammarSqi.gf","1","222","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_GrammarSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_GrammarSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_GrammarSqi.gf.err.txt","OTHER","lib\src\albanian\GrammarSqi.gf:",""
"lib\src\albanian\IdiomSqi.gf","0","75","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_IdiomSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_IdiomSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_IdiomSqi.gf.err.txt","OK","",""
"lib\src\albanian\IrregSqi.gf","0","908","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_IrregSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_IrregSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_IrregSqi.gf.err.txt","OK","",""
"lib\src\albanian\LangSqi.gf","1","224","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_LangSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_LangSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_LangSqi.gf.err.txt","OTHER","lib\src\albanian\GrammarSqi.gf:",""
"lib\src\albanian\LexiconSqi.gf","0","2321","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_LexiconSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_LexiconSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_LexiconSqi.gf.err.txt","OK","",""
"lib\src\albanian\MorphoSqi.gf","0","84","0","0","0","2","0","25","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_MorphoSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_MorphoSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_MorphoSqi.gf.err.txt","OK","",""
"lib\src\albanian\NamesSqi.gf","0","107","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_NamesSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_NamesSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_NamesSqi.gf.err.txt","OK","",""
"lib\src\albanian\NounSqi.gf","0","92","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_NounSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_NounSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_NounSqi.gf.err.txt","OK","",""
"lib\src\albanian\NumeralSqi.gf","0","61","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_NumeralSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_NumeralSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_NumeralSqi.gf.err.txt","OK","",""
"lib\src\albanian\ParadigmsSqi.gf","0","93","0","0","0","6","0","1","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_ParadigmsSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_ParadigmsSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_ParadigmsSqi.gf.err.txt","OK","",""
"lib\src\albanian\PhraseSqi.gf","0","57","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_PhraseSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_PhraseSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_PhraseSqi.gf.err.txt","OK","",""
"lib\src\albanian\QuestionSqi.gf","0","61","0","0","0","0","0","1","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_QuestionSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_QuestionSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_QuestionSqi.gf.err.txt","OK","",""
"lib\src\albanian\RelativeSqi.gf","0","61","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_RelativeSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_RelativeSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_RelativeSqi.gf.err.txt","OK","",""
"lib\src\albanian\ResSqi.gf","0","49","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_ResSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_ResSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_ResSqi.gf.err.txt","OK","",""
"lib\src\albanian\SentenceSqi.gf","0","64","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_SentenceSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_SentenceSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_SentenceSqi.gf.err.txt","OK","",""
"lib\src\albanian\StructuralSqi.gf","1","210","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_StructuralSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_StructuralSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_StructuralSqi.gf.err.txt","INTERNAL","gf.exe: Internal error in GeneratePMCFG:","GeneratePMCFG"
"lib\src\albanian\SymbolSqi.gf","0","102","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_SymbolSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_SymbolSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_SymbolSqi.gf.err.txt","OK","",""
"lib\src\albanian\TenseSqi.gf","0","57","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_TenseSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_TenseSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_TenseSqi.gf.err.txt","OK","",""
"lib\src\albanian\TestAbs.gf","0","42","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_TestAbs.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_TestAbs.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_TestAbs.gf.err.txt","OK","",""
"lib\src\albanian\TestSqi.gf","0","112","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_TestSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_TestSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_TestSqi.gf.err.txt","OK","",""
"lib\src\albanian\TextSqi.gf","0","56","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_TextSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_TextSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_TextSqi.gf.err.txt","OK","",""
"lib\src\albanian\VerbSqi.gf","0","62","0","0","0","0","0","0","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\scan\lib_src_albanian_VerbSqi.gf.scan.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_VerbSqi.gf.out.txt","C:\mycode\Grammatical_Framework\Grammatical_Framework-Albanian\_gf_audit\run_20260311_143817\logs\compile\lib_src_albanian_VerbSqi.gf.err.txt","OK","",""
